DATE,MILLIONS_OF_DOLLARS
2008-04-01,6758.6666666666666667
2008-07-01,6058.0000000000000000
2008-10-01,4815.0000000000000000
2009-01-01,5883.0000000000000000
2009-04-01,5582.6666666666666667
2009-07-01,5473.3333333333333333
2009-10-01,4871.3333333333333333
2010-01-01,6002.3333333333333333
2010-04-01,6003.0000000000000000
2010-07-01,6147.3333333333333333
2010-10-01,5749.6666666666666667
2011-01-01,6977.3333333333333333
2011-04-01,6388.6666666666666667
2011-07-01,6245.6666666666666667
2011-10-01,5627.3333333333333333
2012-01-01,7124.6666666666666667
2012-04-01,6712.0000000000000000
2012-07-01,6677.0000000000000000
2012-10-01,6229.0000000000000000
2013-01-01,7827.3333333333333333
2013-04-01,7249.3333333333333333
2013-07-01,6908.6666666666666667
2013-10-01,6246.6666666666666667
2014-01-01,7679.6666666666666667
2014-04-01,7752.0000000000000000
2014-07-01,7871.3333333333333333
2014-10-01,7391.0000000000000000
2015-01-01,8830.0000000000000000
2015-04-01,8871.3333333333333333
2015-07-01,8384.3333333333333333
2015-10-01,7589.6666666666666667
2016-01-01,9502.6666666666666667
2016-04-01,9034.3333333333333333
2016-07-01,9016.3333333333333333
2016-10-01,8545.6666666666666667
2017-01-01,9859.0000000000000000
2017-04-01,9738.6666666666666667
2017-07-01,9630.0000000000000000
2017-10-01,8805.6666666666666667
2018-01-01,10204.3333333333333333
2018-04-01,10026.6666666666666667
2018-07-01,9860.3333333333333333
2018-10-01,8999.3333333333333333
2019-01-01,10520.0000000000000000
2019-04-01,10623.6666666666666667
2019-07-01,10216.0000000000000000
2019-10-01,9313.6666666666666667
2020-01-01,9392.3333333333333333
2020-04-01,9176.6666666666666667
2020-07-01,11170.0000000000000000
2020-10-01,9542.6666666666666667
2021-01-01,12376.0000000000000000
2021-04-01,14996.000000000000
2021-07-01,14282.666666666667
2021-10-01,13675.666666666667
2022-01-01,14063.333333333333
2022-04-01,14794.666666666667
2022-07-01,14288.000000000000
2022-10-01,12121.6666666666666667
2023-01-01,14638.000000000000
2023-04-01,15121.666666666667