DATE,DOLLARS
2008-04-01,23623.280000000000
2008-07-01,24759.340000000000
2008-10-01,24843.260000000000
2009-01-01,25088.650000000000
2009-04-01,25657.320000000000
2009-07-01,24009.700000000000
2009-10-01,26547.940000000000
2010-01-01,25962.780000000000
2010-04-01,25463.910000000000
2010-07-01,25219.030000000000
2010-10-01,25261.780000000000
2011-01-01,25082.260000000000
2011-04-01,24718.030000000000
2011-07-01,25191.120000000000
2011-10-01,25492.560000000000
2012-01-01,25430.340000000000
2012-04-01,25003.330000000000
2012-07-01,25086.700000000000
2012-10-01,25842.760000000000
2013-01-01,25609.040000000000
2013-04-01,25394.520000000000
2013-07-01,25389.920000000000
2013-10-01,25951.030000000000
2014-01-01,26186.900000000000
2014-04-01,25839.920000000000
2014-07-01,26370.630000000000
2014-10-01,26755.300000000000
2015-01-01,27272.360000000000
2015-04-01,26932.270000000000
2015-07-01,27697.600000000000
2015-10-01,27986.150000000000
2016-01-01,28140.060000000000
2016-04-01,28126.640000000000
2016-07-01,28667.300000000000
2016-10-01,29468.550000000000
2017-01-01,29133.850000000000
2017-04-01,28569.470000000000
2017-07-01,29153.730000000000
2017-10-01,30294.940000000000
2018-01-01,30471.660000000000
2018-04-01,29805.200000000000
2018-07-01,29921.270000000000
2018-10-01,30493.730000000000
2019-01-01,30865.420000000000
2019-04-01,31170.600000000000
2019-07-01,31514.060000000000
2019-10-01,31692.140000000000
2020-01-01,32723.940000000000
2020-04-01,36674.900000000000
2020-07-01,34660.260000000000
2020-10-01,33738.230000000000
2021-01-01,34207.350000000000
2021-04-01,33914.940000000000
2021-07-01,35283.890000000000
2021-10-01,37820.760000000000
2022-01-01,37991.370000000000
2022-04-01,38044.460000000000
2022-07-01,40155.680000000000
2022-10-01,39407.020000000000
2023-01-01,39066.360000000000
2023-04-01,38689.200000000000